Source Well,Dest Well,Volume,Compound
J16,A05,150,Cpd194
J17,G03,150,Cpd195
J18,K03,150,Cpd196
J19,H08,150,Cpd197
J20,P23,150,Cpd198
J21,P24,150,Cpd199
J22,G18,150,Cpd200
J23,I01,150,JUMP5_rep4
J24,J24,150,DMSO
K01,E21,150,JUMP6_rep1
K02,K12,150,DMSO
K03,H01,150,Cpd201
K04,C05,150,Cpd202
K05,A12,150,Cpd203
K06,H22,150,Cpd204
K07,H18,150,Cpd205
K08,B01,150,Cpd206
K09,M06,150,Cpd207
K10,I14,150,Cpd208
K11,A08,150,Cpd209
K12,H10,150,Cpd210
K13,F17,150,Cpd211
K14,O02,150,Cpd212
K15,O22,150,Cpd213
K16,D24,150,Cpd214
K17,F23,150,Cpd215
K18,E09,150,Cpd216
K19,I24,150,Cpd217
K20,B23,150,Cpd218
K21,D14,150,Cpd219
K22,F09,150,Cpd220
K23,M16,150,JUMP6_rep3
K24,K15,150,DMSO
L01,K01,150,JUMP6_rep2
L02,L02,150,DMSO
L03,L04,150,Cpd221
L04,G17,150,Cpd222
L05,M15,150,Cpd223
L06,J15,150,Cpd224
L07,C02,150,Cpd225
L08,I17,150,Cpd226
L09,A20,150,Cpd227
L10,C18,150,Cpd228
L11,F14,150,Cpd229
L12,H19,150,Cpd230
L13,A07,150,Cpd231
L14,C19,150,Cpd232
L15,A18,150,Cpd233
L16,F04,150,Cpd234
L17,E08,150,Cpd235
L18,F16,150,Cpd236
L19,L15,150,Cpd237
L20,K22,150,Cpd238
L21,D12,150,Cpd239
L22,B12,150,Cpd240
L23,P09,150,JUMP6_rep4
L24,L17,150,DMSO
M01,A03,150,JUMP7_rep1
M02,M08,150,DMSO
M03,L23,150,Cpd241
M04,M14,150,Cpd242
M05,N05,150,Cpd243
M06,A09,150,Cpd244
M07,C13,150,Cpd245
M08,F06,150,Cpd246
M09,J01,150,Cpd247
M10,J05,150,Cpd248
M11,E10,150,Cpd249
M12,M20,150,Cpd250
M13,G04,150,Cpd251
M14,O16,150,Cpd252
M15,A06,150,Cpd253
M16,B11,150,Cpd254
M17,N06,150,Cpd255
M18,M07,150,Cpd256
M19,G16,150,Cpd257
M20,O01,150,Cpd258
M21,D05,150,Cpd259
M22,O06,150,Cpd260
M23,L14,150,JUMP7_rep3
M24,M24,150,DMSO
N01,H24,150,JUMP7_rep2
N02,N03,150,DMSO
N03,J17,150,Cpd261
N04,P06,150,Cpd262
N05,M13,150,Cpd263
N06,O23,150,Cpd264
N07,B15,150,Cpd265
N08,L24,150,Cpd266
N09,I07,150,Cpd267
N10,E17,150,Cpd268
N11,G14,150,Cpd269
N12,E22,150,Cpd270
N13,P12,150,Cpd271
N14,H20,150,Cpd272
N15,C23,150,Cpd273
N16,G02,150,Cpd274
N17,K10,150,Cpd275
N18,J16,150,Cpd276
N19,A01,150,Cpd277
N20,E18,150,Cpd278
N21,F03,150,Cpd279
N22,J21,150,Cpd280
N23,O18,150,JUMP7_rep4
N24,N10,150,DMSO
O01,E16,150,JUMP8_rep1
O02,O05,150,DMSO
O03,N12,150,Cpd281
O04,G10,150,Cpd282
O05,L09,150,Cpd283
O06,E23,150,Cpd284
O07,I18,150,Cpd285
O08,F10,150,Cpd286
O09,G08,150,Cpd287
O10,K14,150,Cpd288
O11,F13,150,Cpd289
O12,K08,150,Cpd290
O13,B19,150,Cpd291
O14,J11,150,Cpd292
O15,O04,150,Cpd293
O16,D13,150,Cpd294
O17,O17,150,Cpd295
O18,B20,150,Cpd296
O19,O10,150,Cpd297
O20,L13,150,Cpd298
O21,O09,150,Cpd299
O22,J18,150,Cpd300
O23,H17,150,JUMP8_rep3
O24,O13,150,DMSO
P01,G06,150,JUMP8_rep2
P02,P07,150,DMSO
P03,B03,150,Cpd301
P04,P11,150,Cpd302
P05,P14,150,Cpd303
P06,G07,150,Cpd304
P07,F11,150,Cpd305
P08,K02,150,Cpd306
P09,G22,150,Cpd307
P10,N15,150,Cpd308
P11,D15,150,Cpd309
P12,J07,150,Cpd310
P13,A02,150,Cpd311
P14,G01,150,Cpd312
P15,B24,150,Cpd313
P16,C08,150,Cpd314
P17,L22,150,Cpd315
P18,K18,150,Cpd316
P19,F24,150,Cpd317
P20,D17,150,Cpd318
P21,B06,150,Cpd319
P22,K05,150,Cpd320
P23,P22,150,JUMP8_rep4
P24,P20,150,DMSO
